Medicamento;Indicação;Dosagem/Apresentação
iloprosta;Hipertensão Arterial Pulmonar;10 mcg/ml – solução para nebulização (ampola de 1ml)
imiglucerase;Doença de Gaucher;400 UI injetável – frasco-ampola
imunoglobulina humana;Anemia Hemolítica Autoimune;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Dermatomiosite e Polimiosite;0,5g, 1g e 5,0g injetável – frasco
imunoglobulina humana;Doença pelo HIV resultando em outras doenças;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Imunodeficiência primária com predominância de defeitos de anticorpos;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Imunossupressão no Transplante Renal;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Miastenia gravis;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Púrpura Trombocitopênica Idiopática;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Símdrome Inflamatória Multissistêmica Pediátrica associada a Covid-19;2,5 g e 5,0 g injetável – frasco
imunoglobulina humana;Síndrome de Falência Medular;0,5; 1,0; 2,5 e 5,0 g injetável – frasco
imunoglobulina humana;Síndrome de Guillain-Barré;2,5 g e 5,0 g injetável – frasco
infliximabe;Artrite idiopática juvenil;10 mg/ml injetável – frasco-ampola com 10ml
infliximabe;Artrite Psoríaca;10 mg/mL injetável – frasco-ampola com 10mL
infliximabe;Artrite Reumatóide;10 mg/mL injetável – frasco-ampola com 10mL
infliximabe;Doença de Crohn;100 mg injetável – frasco-ampola
infliximabe;Espondilite Ancilosante;10 mg/mL injetável – frasco-ampola com 10mL
infliximabe;Retocolite Ulcerativa;10 mg/mL injetável – frasco-ampola com 10mL
insulina análoga de ação prolongada;Diabetes Tipo I;100 UI/mL (Tubete de 3 mL ou Caneta preenchida de 3mL)
insulina análoga de ação rápida;Diabetes Tipo I;100 UI/mL (Tubete de 3 mL ou Caneta preenchida de 3mL)
isotretinoína;Acne Grave;10 mg e 20 mg – cápsula
ivacaftor;Fibrose Cística;150 mg – Comprimido Revestido.
ivacaftor / elexacaftor / tezacaftor + ivacaftor;Fibrose Cística;Elexacaftor 50 mg / Tezacaftor 25 mg / Ivacaftor 37,5 mg comprimido revestido co-embalado com Ivacaftor 75
lamotrigina;Epilepsia;25 mg, 50 mg e 100 mg – comprimido
lamotrigina;Transtorno Afetivo Bipolar;25 mg, 50 mg e 100 mg – comprimido
lanreotida;Acromegalia;60 mg, 90 mg e 120 mg injetável – seringa preenchida
laronidase;Mucopolissacaridose do Tipo I;0,58 mg/ml injetável - frasco com 5 mL
latanoprosta;Glaucoma;0,05 mg/ml solução oftálmica – frasco de 2,5mL
leflunomida;Artrite idiopática juvenil;20 mg – comprimido
leflunomida;Artrite Psoríaca;20 mg – comprimido
leflunomida;Artrite Reumatóide;20 mg – comprimido
leuprorrelina;Endometriose;3,75 mg injetável – frasco-ampola
leuprorrelina;Leiomioma de útero;3,75 mg injetável – frasco-ampola
leuprorrelina;Puberdade Precoce Central;3,75 mg e 45 mg (pó para suspensão injetável)
levetiracetam;Epilepsia;250 mg, 500 mg, 750 mg e 1000 mg por comprimido, 100 mg/mL solução oral –
memantina;Doença de Alzheimer;10mg - comprimido
